driver_id,constructor_id,race_id,race_name,season,fp1_best_time,fp2_best_time,fp3_best_time,fp1_avg_time,fp2_avg_time,fp3_avg_time,rain_fp1,avg_airtemp_fp1,avg_tracktemp_fp1,high_windspeed_fp1,avg_windspeed_fp1,rain_fp2,avg_airtemp_fp2,avg_tracktemp_fp2,high_windspeed_fp2,avg_windspeed_fp2,rain_fp3,avg_airtemp_fp3,avg_tracktemp_fp3,high_windspeed_fp3,avg_windspeed_fp3,rain_quali,avg_airtemp_quali,avg_tracktemp_quali,high_windspeed_quali,avg_windspeed_quali,rain_race,avg_airtemp_race,avg_tracktemp_race,high_windspeed_race,avg_windspeed_race,qual_position,qual_time,sect1,sect2,sect3,speed1,speed2,speedfl,race_startposition,race_endposition,race_overtakes_made,fastest_lap,dnf,dotd
hamilton,mercedes,1,Bahrain Grand Prix,2021,0 days 00:01:31.921000,0 days 00:01:31.082000,0 days 00:01:31.316000,0 days 00:01:32.560000,0 days 00:01:31.330000,0 days 00:01:33.008750,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,2.0,0 days 00:01:29.385000,0 days 00:00:28.372000,0 days 00:00:38.536000,0 days 00:00:22.477000,244.0,267.0,290.0,2,1,6,0,0,0
max_verstappen,red_bull,1,Bahrain Grand Prix,2021,0 days 00:01:31.394000,0 days 00:01:30.847000,0 days 00:01:30.577000,0 days 00:01:32.381500,0 days 00:01:31.531666666,0 days 00:01:31.809666666,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,1.0,0 days 00:01:28.997000,0 days 00:00:28.349000,0 days 00:00:38.229000,0 days 00:00:22.419000,246.0,270.0,284.0,1,2,2,0,0,0
bottas,mercedes,1,Bahrain Grand Prix,2021,0 days 00:01:31.692000,0 days 00:01:31.218000,0 days 00:01:31.855000,0 days 00:01:32.698200,0 days 00:01:31.360500,0 days 00:01:32.434333333,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,3.0,0 days 00:01:29.586000,0 days 00:00:28.493000,0 days 00:00:38.642000,0 days 00:00:22.451000,245.0,271.0,284.0,3,3,7,1,0,0
norris,mclaren,1,Bahrain Grand Prix,2021,0 days 00:01:31.897000,0 days 00:01:30.942000,0 days 00:01:32.860000,0 days 00:01:33.241750,0 days 00:01:32.609666666,0 days 00:01:32.920500,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,7.0,0 days 00:01:29.974000,0 days 00:00:28.624000,0 days 00:00:38.659000,0 days 00:00:22.691000,246.0,268.0,292.0,7,4,9,0,0,0
perez,red_bull,1,Bahrain Grand Prix,2021,0 days 00:01:32.071000,0 days 00:01:31.503000,0 days 00:01:31.908000,0 days 00:01:32.790500,0 days 00:01:31.855333333,0 days 00:01:32.916666666,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,11.0,0 days 00:01:30.659000,0 days 00:00:28.959000,0 days 00:00:38.994000,0 days 00:00:22.706000,244.0,270.0,289.0,20,5,19,0,0,1
leclerc,ferrari,1,Bahrain Grand Prix,2021,0 days 00:01:31.993000,0 days 00:01:31.612000,0 days 00:01:32.482000,0 days 00:01:32.741000,0 days 00:01:33.040000,0 days 00:01:33.632750,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,4.0,0 days 00:01:29.678000,0 days 00:00:28.419000,0 days 00:00:38.598000,0 days 00:00:22.661000,246.0,269.0,287.0,4,6,7,0,0,0
ricciardo,mclaren,1,Bahrain Grand Prix,2021,0 days 00:01:32.434000,0 days 00:01:31.230000,0 days 00:01:32.477000,0 days 00:01:33.972750,0 days 00:01:32.630500,0 days 00:01:33.359500,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,6.0,0 days 00:01:29.927000,0 days 00:00:28.568000,0 days 00:00:38.772000,0 days 00:00:22.587000,246.0,270.0,292.0,6,7,10,0,0,0
sainz,ferrari,1,Bahrain Grand Prix,2021,0 days 00:01:32.366000,0 days 00:01:31.127000,0 days 00:01:32.108000,0 days 00:01:33.175750,0 days 00:01:31.962666666,0 days 00:01:33.477000,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,8.0,0 days 00:01:30.215000,0 days 00:00:28.628000,0 days 00:00:38.679000,0 days 00:00:22.702000,245.0,269.0,286.0,8,8,12,0,0,0
tsunoda,alphatauri,1,Bahrain Grand Prix,2021,0 days 00:01:33.329000,0 days 00:01:31.294000,0 days 00:01:32.677000,0 days 00:01:33.723000,0 days 00:01:31.937750,0 days 00:01:32.956000,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,13.0,0 days 00:01:31.203000,0 days 00:00:28.857000,0 days 00:00:39.030000,0 days 00:00:22.720000,244.0,272.0,290.0,13,9,15,0,0,0
stroll,aston_martin,1,Bahrain Grand Prix,2021,0 days 00:01:33.233000,0 days 00:01:31.393000,0 days 00:01:32.431000,0 days 00:01:34.092000,0 days 00:01:32.412000,0 days 00:01:33.879000,0,35.4375,46.9375,0.5,0.3125,0,28.2875,32.724999999999994,1.1,0.7749999999999999,0,38.025,47.1125,0.6,0.45,0,29.1625,34.075,1.1,0.8875,0,20.55714285714286,27.635714285714283,1.2,0.8785714285714287,10.0,0 days 00:01:30.601000,0 days 00:00:28.765000,0 days 00:00:39.016000,0 days 00:00:22.820000,244.0,264.0,282.0,10,10,13,0,0,0
